Src_IP_dec,Src_Port,Dst_IP_dec,Dst_Port,Protocol,Timestamp,Flow_Duration,Total_Fwd_Packet,Total_Bwd_packets,Total_Length_of_Fwd_Packet,Total_Length_of_Bwd_Packet,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_per_s,Flow_Packets_per_s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_RST_Flags,Bwd_RST_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_per_s,Bwd_Packets_per_s,Packet_Length_Min,Packet_Length_Max,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWR_Flag_Count,ECE_Flag_Count,Down_per_Up_Ratio,Average_Packet_Size,Fwd_Segment_Size_Avg,Bwd_Segment_Size_Avg,Fwd_Bytes_per_Bulk_Avg,Fwd_Packet_per_Bulk_Avg,Fwd_Bulk_Rate_Avg,Bwd_Bytes_per_Bulk_Avg,Bwd_Packet_per_Bulk_Avg,Bwd_Bulk_Rate_Avg,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,FWD_Init_Win_Bytes,Bwd_Init_Win_Bytes,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,ICMP_Code,ICMP_Type,Total_TCP_Flow_Time,Label,Attempted_Category,Attack_Label
3232238085,54645,3232238083,53,17,2026-09-12 00:00:06,23753,2,2,88,202,44,44,44.0,0.0,101,101,101.0,0.0,12208.98413,168.3997811,7917.666667,13708.60479,23747,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,84.19989054,84.19989054,44,101,72.5,32.90896534,1083.0,0,0,0,0,0,0,0,0,1.0,72.5,44.0,101.0,0,0,0,0,0,0,0,22,0,50,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1,BENIGN
2886729729,58290,3232238130,80,6,2026-09-12 00:01:06,102673578,14,3,2390,0,239,0,170.7142857,110.7689408,0,0,0.0,0.0,23.27765377,0.165573269,6417098.625,13222810.57,51327595,48,102673434,7897956.462,14348646.48,51327595,242,102673530,51336765.0,28026721.74,71154650,31518880,11,0,0,0,0,1,456,100,0.136354457,0.029218812,0,239,140.5882353,120.2882262,14469.25735,0,3,1,11,15,0,0,0,0.214285714,140.5882353,170.7142857,0.0,956,5,598,0,0,0,0,140,0,0,29200,0,11,32,3205576.5,4532536.79,6410564,589,19252456.2,18804777.06,51327595,5868588,-1,-1,102673578,DoS Slowloris,-1,DoS
2886729729,19026,3232238130,80,6,2026-09-12 00:01:54,9243763,7,5,20,11595,20,0,2.857142857,7.55928946,5840,0,2319.0,2438.2586,1256.522912,1.298172616,840342.0909,2764567.116,9175764,4,9243763,1540627.167,3740478.715,9175764,4,52105,13026.25,15912.74008,33361,149,1,1,0,0,1,0,152,112,0.75726736,0.540905257,0,5840,967.9166667,1893.224112,3584297.538,1,2,1,2,11,0,0,0,0.714285714,967.9166667,2.857142857,2319.0,0,0,0,0,0,0,0,1,0,966,8192,229,1,20,67999.0,0.0,67999,67999,9175764.0,0.0,9175764,9175764,-1,-1,9243763,DDoS,-1,DDoS
2886729729,43752,3232238130,80,6,2026-09-12 00:05:00,19197,8,8,357,11595,357,0,44.625,126.2185604,5792,0,1449.375,2323.928013,622597.2808,833.463562,1279.8,3470.438675,13611,3,19197,2742.428571,5820.193292,15860,4,16888,2412.571429,5166.604425,14041,3,1,1,0,0,3,0,228,264,416.731781,416.731781,0,5792,747.0,1747.556351,3053953.2,3,2,3,2,12,0,0,0,1.0,747.0,44.625,1449.375,0,0,0,0,0,0,0,22,0,724,29200,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,19197,DoS Hulk,-1,DoS
2886729729,44058,3232238130,80,6,2026-09-12 00:05:18,21185,8,6,338,11595,338,0,42.25,119.501046,11595,0,1932.5,4733.638928,563275.9028,660.8449375,1629.615385,4070.932459,14888,1,21185,3026.428571,6016.495875,16363,1,19603,3920.6,6362.963406,15107,5,1,1,0,0,3,0,228,200,377.6256785,283.2192589,0,11595,852.3571429,3093.256825,9568237.786,3,2,3,2,10,0,0,0,0.75,852.3571429,42.25,1932.5,0,0,0,0,0,0,0,24,0,828,29200,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,21185,DoS Hulk,-1,DoS
2886729729,44602,3232238130,80,6,2026-09-12 00:05:36,11017,8,5,368,11595,368,0,46.0,130.1076477,8688,0,2319.0,3774.237539,1085867.296,1179.994554,918.0833333,2025.690969,7009,1,11017,1573.857143,2642.792111,7024,1,7779,1944.75,3449.743891,7119,190,1,1,0,0,2,0,252,168,726.1504947,453.8440592,0,8688,920.2307692,2466.356697,6082915.359,1,2,2,2,11,0,0,0,0.625,920.2307692,46.0,2319.0,0,0,0,0,0,0,0,28,0,891,29200,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,11017,DoS Hulk,-1,DoS
2886729729,44962,3232238130,80,6,2026-09-12 00:05:48,60005,8,7,418,11595,418,0,52.25,147.7853173,5792,0,1656.428571,2118.227235,200199.9833,249.9791684,4286.071429,10621.57855,39241,1,60005,8572.142857,17091.02543,46049,1,52707,8784.5,15783.31497,39241,49,1,1,0,0,3,0,240,232,133.3222231,116.6569453,0,5792,800.8666667,1618.674981,2620108.695,1,2,3,2,12,0,0,0,0.875,800.8666667,52.25,1656.428571,0,0,0,11595,5,24156250,0,27,0,773,29200,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,60005,DoS Hulk,-1,DoS
2886729729,42890,3232238130,80,6,2026-09-12 00:05:54,116996,6,6,382,11595,382,0,63.66666667,155.950847,8688,0,1932.5,3384.303045,102371.0212,102.5676091,10636.0,24281.03578,80113,1,116996,23399.2,39257.87877,90975,1,106265,21253.0,34738.42284,80113,47,1,1,0,0,1,0,200,200,51.28380457,51.28380457,0,8688,998.0833333,2483.88905,6169704.811,1,2,1,2,11,0,0,0,1.0,998.0833333,63.66666667,1932.5,0,0,0,11595,4,36347962,0,31,0,966,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,116996,DoS Hulk,-1,DoS
2886729729,45274,3232238130,80,6,2026-09-12 00:06:06,159982,7,5,291,11595,291,0,41.57142857,109.9876616,7240,0,2319.0,3331.638186,74295.85828,75.00843845,14543.81818,41561.11437,139246,1,159982,26663.66667,59624.09894,147976,1,151729,37932.25,67775.56336,139246,189,1,1,0,0,2,0,220,168,43.75492243,31.25351602,0,7240,990.5,2327.692088,5418150.455,1,2,2,2,10,0,0,0,0.714285714,990.5,41.57142857,2319.0,0,0,0,0,0,0,0,24,0,966,29200,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,159982,DoS Hulk,-1,DoS
2886729729,45580,3232238130,80,6,2026-09-12 00:06:12,171991,8,7,356,11595,356,0,44.5,125.8650071,5792,0,1656.428571,2119.480114,69486.19405,87.21386584,12285.07143,35959.27529,136177,0,171991,24570.14286,54233.28515,146983,1,160984,26830.66667,53909.47947,136177,32,1,1,0,0,3,0,228,232,46.51406178,40.69980406,0,5792,796.7333333,1620.50347,2626031.495,2,2,3,2,11,0,0,0,0.875,796.7333333,44.5,1656.428571,0,0,0,11595,4,36462264,0,23,0,773,29200,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,171991,DoS Hulk,-1,DoS
