Src_IP_dec,Src_Port,Dst_IP_dec,Dst_Port,Protocol,Timestamp,Flow_Duration,Total_Fwd_Packet,Total_Bwd_packets,Total_Length_of_Fwd_Packet,Total_Length_of_Bwd_Packet,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_per_s,Flow_Packets_per_s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_RST_Flags,Bwd_RST_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_per_s,Bwd_Packets_per_s,Packet_Length_Min,Packet_Length_Max,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWR_Flag_Count,ECE_Flag_Count,Down_per_Up_Ratio,Average_Packet_Size,Fwd_Segment_Size_Avg,Bwd_Segment_Size_Avg,Fwd_Bytes_per_Bulk_Avg,Fwd_Packet_per_Bulk_Avg,Fwd_Bulk_Rate_Avg,Bwd_Bytes_per_Bulk_Avg,Bwd_Packet_per_Bulk_Avg,Bwd_Bulk_Rate_Avg,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,FWD_Init_Win_Bytes,Bwd_Init_Win_Bytes,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,ICMP_Code,ICMP_Type,Total_TCP_Flow_Time,Label,Attempted_Category,Attack_Label
3232238085,54645,3232238083,53,17,2026-09-12 00:00:06,23753,2,2,88,202,44,44,44.0,0.0,101,101,101.0,0.0,12208.98413,168.3997811,7917.666667,13708.60479,23747,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,84.19989054,84.19989054,44,101,72.5,32.90896534,1083.0,0,0,0,0,0,0,0,0,1.0,72.5,44.0,101.0,0,0,0,0,0,0,0,22,0,50,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1,BENIGN
3232238097,37041,3232238083,53,17,2026-09-12 00:00:18,227,2,2,104,352,52,52,52.0,0.0,176,176,176.0,0.0,2008810.573,17621.14537,75.66666667,91.68605855,178,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,0,0,16,16,8810.572687,8810.572687,52,176,114.0,71.59143338,5125.333333,0,0,0,0,0,0,0,0,1.0,114.0,52.0,176.0,0,0,0,0,0,0,0,26,0,88,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1,BENIGN
3232238083,60049,3232238081,53,17,2026-09-12 00:00:18,91542,1,1,51,213,51,51,51.0,0.0,213,213,213.0,0.0,2883.922134,21.84789496,91542.0,0.0,91542,91542,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,10.92394748,10.92394748,51,213,132.0,114.5512986,13122.0,0,0,0,0,0,0,0,0,1.0,132.0,51.0,213.0,0,0,0,0,0,0,0,25,0,106,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1,BENIGN
3232238085,52844,1822538890,80,6,2026-09-12 00:00:54,5041169,4,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.19020013,1008233.8,2232507.189,5001826,50,5041169,1680389.667,2876448.243,5001826,19604,5021506,5021506.0,0.0,5021506,5021506,0,0,0,0,0,0,92,52,0.793466753,0.396733377,0,0,0.0,0.0,0.0,2,2,0,0,5,0,0,0,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,29,0,20,19739.0,0.0,19739,19739,5001826.0,0.0,5001826,5001826,-1,-1,5041169,BENIGN,-1,BENIGN
2886729729,58290,3232238130,80,6,2026-09-12 00:01:06,102673578,14,3,2390,0,239,0,170.7142857,110.7689408,0,0,0.0,0.0,23.27765377,0.165573269,6417098.625,13222810.57,51327595,48,102673434,7897956.462,14348646.48,51327595,242,102673530,51336765.0,28026721.74,71154650,31518880,11,0,0,0,0,1,456,100,0.136354457,0.029218812,0,239,140.5882353,120.2882262,14469.25735,0,3,1,11,15,0,0,0,0.214285714,140.5882353,170.7142857,0.0,956,5,598,0,0,0,0,140,0,0,29200,0,11,32,3205576.5,4532536.79,6410564,589,19252456.2,18804777.06,51327595,5868588,-1,-1,102673578,DoS Slowloris,-1,DoS
3232238085,64681,3232238083,53,17,2026-09-12 00:01:24,61508,4,2,140,102,35,35,35.0,0.0,51,51,51.0,0.0,3934.447552,97.5482864,12301.6,16840.68141,30843,2,30849,10283.0,17805.48233,30843,2,3,3.0,0.0,3,3,0,0,0,0,0,0,32,16,65.03219093,32.51609547,35,51,40.33333333,8.262364472,68.26666667,0,0,0,0,0,0,0,0,0.5,40.33333333,35.0,51.0,140,4,4538,0,0,0,0,23,0,17,0,0,3,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1,BENIGN
3232238085,52871,911667437,443,6,2026-09-12 00:01:54,117976202,22,22,1848,5346,534,0,84.0,178.6238399,1460,0,243.0,478.1045911,60.97839969,0.372956573,2743632.605,4420262.644,10007352,30,117925874,5615517.81,4958925.619,10053288,273,117925836,5615516.0,4971462.1,10057828,49,5,5,0,0,0,0,452,444,0.186478287,0.186478287,0,1460,163.5,365.6275586,133683.5116,0,2,0,10,43,0,0,0,1.0,163.5,84.0,243.0,0,0,0,0,0,0,0,42,0,121,8192,33232,16,20,106598.0,163157.2622,614643,50154,9720558.167,961648.9695,10007352,6666964,-1,-1,117976202,BENIGN,-1,BENIGN
2886729729,19026,3232238130,80,6,2026-09-12 00:01:54,9243763,7,5,20,11595,20,0,2.857142857,7.55928946,5840,0,2319.0,2438.2586,1256.522912,1.298172616,840342.0909,2764567.116,9175764,4,9243763,1540627.167,3740478.715,9175764,4,52105,13026.25,15912.74008,33361,149,1,1,0,0,1,0,152,112,0.75726736,0.540905257,0,5840,967.9166667,1893.224112,3584297.538,1,2,1,2,11,0,0,0,0.714285714,967.9166667,2.857142857,2319.0,0,0,0,0,0,0,0,1,0,966,8192,229,1,20,67999.0,0.0,67999,67999,9175764.0,0.0,9175764,9175764,-1,-1,9243763,DDoS,-1,DDoS
2886729729,19028,3232238130,80,6,2026-09-12 00:01:54,9243824,8,5,20,11595,20,0,2.5,7.071067812,7300,0,2319.0,3023.657553,1256.51462,1.406344387,770318.6667,2647069.104,9175827,4,9243824,1320546.286,3463895.669,9175827,4,51864,12966.0,16034.0589,33420,177,1,1,0,0,1,0,172,112,0.8654427,0.540901687,0,7300,893.4615385,2103.205277,4423472.436,1,2,1,2,12,0,0,0,0.625,893.4615385,2.5,2319.0,0,0,0,0,0,0,0,1,0,891,8192,229,1,20,67997.0,0.0,67997,67997,9175827.0,0.0,9175827,9175827,-1,-1,9243824,DDoS,-1,DDoS
2886729729,57163,3232238130,80,6,2026-09-12 00:01:54,2623003,8,6,20,11595,20,0,2.5,7.071067812,2920,0,1932.5,1497.270016,4428.130658,5.337393819,201769.4615,714684.0484,2580266,3,2623003,374714.7143,972603.8333,2580266,3,36240,7248.0,10924.85439,25119,68,1,1,0,0,1,0,172,132,3.049939325,2.287454494,0,2920,829.6428571,1358.181001,1844655.632,1,2,1,2,13,0,0,0,0.75,829.6428571,2.5,1932.5,0,0,0,11595,4,16902332,0,1,0,828,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,2623003,DDoS,-1,DDoS
2886729729,57168,3232238130,80,6,2026-09-12 00:01:54,2610918,8,6,20,11595,20,0,2.5,7.071067812,5840,0,1932.5,2190.830322,4448.626881,5.362098695,200839.8462,705586.9299,2548943,1,2610918,372988.2857,959634.7255,2548943,1,51884,10376.8,14864.48969,32548,45,1,1,0,0,1,0,172,132,3.064056397,2.298042298,0,5840,829.6428571,1681.80588,2828471.016,1,2,1,2,13,0,0,0,0.75,829.6428571,2.5,1932.5,0,0,0,11595,4,40121107,0,1,0,828,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,2610918,DDoS,-1,DDoS
2886729729,19034,3232238130,80,6,2026-09-12 00:01:54,9222269,9,6,20,12970,20,0,2.222222222,6.666666667,5840,0,2161.666667,2214.634658,1408.547072,1.626497774,658733.5,2443813.218,9149448,3,9222269,1152783.625,3231185.559,9149448,3,56311,11262.2,13373.868,30766,172,1,2,0,0,1,0,204,132,0.975898664,0.65059911,0,5840,866.0,1717.783248,2950779.286,2,2,1,3,14,0,0,0,0.666666667,866.0,2.222222222,2161.666667,0,0,0,12970,4,664855,0,1,0,864,8192,229,1,20,72821.0,0.0,72821,72821,9149448.0,0.0,9149448,9149448,-1,-1,9222269,DDoS,-1,DDoS
2886729729,55157,3232238130,80,6,2026-09-12 00:02:00,2577979,8,6,20,11595,20,0,2.5,7.071067812,4295,0,1932.5,1744.940543,4505.467267,5.430610567,198306.0769,574723.9512,2056661,13,2577979,368282.7143,766785.8875,2056661,285,517555,103511.0,218805.825,494528,13,1,1,0,0,1,0,172,132,3.103206039,2.327404529,0,4295,829.6428571,1467.481443,2153501.786,1,2,1,2,13,0,0,0,0.75,829.6428571,2.5,1932.5,0,0,0,11595,4,45649606,0,1,0,828,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,2577979,DDoS,-1,DDoS
3232238085,61017,585143376,443,6,2026-09-12 00:02:24,4403186,11,10,1216,6548,885,0,110.5454545,265.8388097,1473,0,654.8,694.1378025,1763.268688,4.769273885,220159.3,915465.835,4108389,3,4403186,440318.6,1289122.382,4108389,88,4352720,483635.5556,1378814.312,4159507,3,3,5,0,0,1,0,232,204,2.498191083,2.271082802,0,1473,369.7142857,574.2273193,329737.0143,2,2,1,8,20,0,0,0,0.909090909,369.7142857,110.5454545,654.8,0,0,0,4993,4,2281992,0,57,0,311,8192,31860,3,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,4403186,BENIGN,-1,BENIGN
3232238085,56073,398636317,443,6,2026-09-12 00:03:00,11742249,9,7,319,4791,201,0,35.44444444,73.32992416,1460,0,684.4285714,662.6154886,435.1806881,1.36260098,782816.6,2993316.507,11602851,3,11742249,1467781.125,4095282.193,11602851,3,59561,9926.833333,14804.6925,33584,48,2,3,0,0,1,0,192,152,0.766463051,0.596137929,0,1460,319.375,537.6350528,289051.45,1,2,1,5,15,0,0,0,0.777777778,319.375,35.44444444,684.4285714,0,0,0,4557,4,2260416,0,19,0,299,8192,946,2,20,139395.0,0.0,139395,139395,11602851.0,0.0,11602851,11602851,-1,-1,11742249,BENIGN,-1,BENIGN
2886729729,54196,3232238130,80,6,2026-09-12 00:03:48,118013703,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.135577476,0.033894369,39337901.0,68135105.5,118013544,75,118013628,118013628.0,0.0,118013628,118013628,118013619,118013619.0,0.0,118013619,118013619,2,0,0,0,0,0,64,64,0.016947185,0.016947185,0,8,4.0,4.618802154,21.33333333,0,0,0,2,4,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,4,0,0,229,235,1,32,84.0,0.0,84,84,118013544.0,0.0,118013544,118013544,-1,-1,773189385,DoS Slowloris,-1,DoS
2886729729,54204,3232238130,80,6,2026-09-12 00:03:48,118013685,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.135577497,0.033894374,39337895.0,68135123.68,118013559,62,118013621,118013621.0,0.0,118013621,118013621,118013623,118013623.0,0.0,118013623,118013623,2,0,0,0,0,0,64,64,0.016947187,0.016947187,0,8,4.0,4.618802154,21.33333333,0,0,0,2,4,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,4,0,0,229,235,1,32,62.0,0.0,62,62,118013559.0,0.0,118013559,118013559,-1,-1,772188698,DoS Slowloris,-1,DoS
2886729729,54018,3232238130,80,6,2026-09-12 00:03:48,118013722,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.135577454,0.033894364,39337907.33,68135175.36,118013631,33,118013689,118013689.0,0.0,118013689,118013689,118013664,118013664.0,0.0,118013664,118013664,2,0,0,0,0,0,64,64,0.016947182,0.016947182,0,8,4.0,4.618802154,21.33333333,0,0,0,2,4,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,4,0,0,229,235,1,32,58.0,0.0,58,58,118013631.0,0.0,118013631,118013631,-1,-1,787197428,DoS Slowloris,-1,DoS
2886729729,54316,3232238130,80,6,2026-09-12 00:03:48,118013672,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.135577512,0.033894378,39337890.67,68135085.0,118013510,73,118013583,118013583.0,0.0,118013583,118013583,118013599,118013599.0,0.0,118013599,118013599,2,0,0,0,0,0,64,64,0.016947189,0.016947189,0,8,4.0,4.618802154,21.33333333,0,0,0,2,4,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,4,0,0,229,235,1,32,73.0,0.0,73,73,118013510.0,0.0,118013510,118013510,-1,-1,771178055,DoS Slowloris,-1,DoS
2886729729,54298,3232238130,80,6,2026-09-12 00:03:48,118013678,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.135577505,0.033894376,39337892.67,68135091.06,118013519,79,118013598,118013598.0,0.0,118013598,118013598,118013599,118013599.0,0.0,118013599,118013599,2,0,0,0,0,0,64,64,0.016947188,0.016947188,0,8,4.0,4.618802154,21.33333333,0,0,0,2,4,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,4,0,0,229,235,1,32,79.0,0.0,79,79,118013519.0,0.0,118013519,118013519,-1,-1,771179933,DoS Slowloris,-1,DoS
